stop,city,slug,dates,venue,status,past,premium,img,desc
20,BERLÍN,berlin-2,11 — 13 · DIC 2026,Tresor / Kraftwerk,main,false,true,ref-18.png,"Year-end closer. Kraftwerk Berlin for the last premium drop of 2026. The year ends where techno hits hardest in the world."
21,MILÁN,milan,16 — 18 · ENE 2027,Superstudio Maxi,main,false,true,sevenstore-look.webp,"Milan Fashion Week has competition. We bring vintage at €10 when they charge €500 to sit front row."
22,TURÍN,turin,23 — 25 · ENE 2027,OGR Torino,secondary,false,false,ref-1.png,"OGR — Officine Grandi Riparazioni — one of Italy's best art and music spaces. Nobody talks about it. We do."
23,ZURICH,zurich,06 — 08 · FEB 2027,Halle 622,secondary,false,false,ref-5.png,"Switzerland, expensive in everything except us. Halle 622 with the dopest winter collection of the tour."
24,BRUSELAS,bruselas,20 — 22 · FEB 2027,Hangar,secondary,false,false,ref-9.png,"Belgium is the birthplace of European techno and it knows it. Hangar Brussels with a lineup that respects history."
25,AMSTERDAM,amsterdam-3,06 — 08 · MAR 2027,Paradiso,secondary,false,false,ref-14.png,"Third visit — there's a reason. Paradiso, the temple. Spring drop just landed."
26,FRANKFURT,frankfurt,20 — 22 · MAR 2027,Brotfabrik,secondary,false,false,ref-18.png,"Frankfurt isn't just finance. Brotfabrik has been the alternative cultural heart of the city for 30 years."
27,MÚNICH,munich-2,03 — 05 · ABR 2027,Alte Kongresshalle,secondary,false,false,vintage-lover-girl.webp,"One year after the first event. Back where it all started. Alte Kongresshalle — the most beautiful space we've ever been in."
28,MADRID,madrid-2,24 — 26 · ABR 2027,Fabrica Estudio,secondary,false,false,screenshot-ref2.png,"Madrid twice in the same season — because they asked. New spring drop, most interesting DJs in the Spanish scene right now."
29,SEVILLA,sevilla,08 — 10 · MAY 2027,Espacio Muelle,secondary,false,false,sevenstore-look.webp,"The south joins the tour. Sevilla has an energy that doesn't exist anywhere else."
30,LYON,lyon-2,22 — 24 · MAY 2027,La Sucrière,secondary,false,false,ref-1.png,"Back to Lyon with La Sucrière at Quai Rambaud. Spring on the Rhône, outdoor summer market."
31,COPENHAGUE,copenhague-2,05 — 07 · JUN 2027,Vega,secondary,false,false,ref-5.png,"Second visit to Copenhagen. Vega — Scandinavia's most iconic concert hall — for the Nordic season close."
32,BERLÍN,berlin-3,19 — 21 · JUN 2027,Arena Berlin,secondary,false,false,ref-9.png,"Berlin three times — it's a serious relationship now. Arena Berlin on the Spree for summer."
33,BARCELONA,barcelona-2,03 — 05 · JUL 2027,Fàbrica Moritz,secondary,false,false,ref-14.png,"Fàbrica Moritz in Eixample — a converted brewery turned cultural space. Barcelona summer always wants more."
34,MADRID,madrid-final,18 — 20 · JUL 2027,La Caja Mágica,main,false,true,ref-18.png,"Season finale. Madrid for the last premium drop — the biggest of the year. Everything we've learned in 34 stops. See you there."
